,Source,TM2_i0_n_BMAJ,TM2_i0_n_BMIN,TM2_i0_n_BPA,TM2_i0_n_PEAK,TM2_i0_n_RMSSTD,TM2_i0_n_RMSMAD,TM2_i0_n_SNRSTD,TM2_i0_n_SNRMAD,TM2_i1_n_BMAJ,TM2_i1_n_BMIN,TM2_i1_n_BPA,TM2_i1_n_PEAK,TM2_i1_n_RMSSTD,TM2_i1_n_RMSMAD,TM2_i1_n_SNRSTD,TM2_i1_n_SNRMAD,TM2_i1_y_BMAJ,TM2_i1_y_BMIN,TM2_i1_y_BPA,TM2_i1_y_PEAK,TM2_i1_y_RMSSTD,TM2_i1_y_RMSMAD,TM2_i1_y_SNRSTD,TM2_i1_y_SNRMAD,TM2_i2_n_BMAJ,TM2_i2_n_BMIN,TM2_i2_n_BPA,TM2_i2_n_PEAK,TM2_i2_n_RMSSTD,TM2_i2_n_RMSMAD,TM2_i2_n_SNRSTD,TM2_i2_n_SNRMAD,TM2_i2_y_BMAJ,TM2_i2_y_BMIN,TM2_i2_y_BPA,TM2_i2_y_PEAK,TM2_i2_y_RMSSTD,TM2_i2_y_RMSMAD,TM2_i2_y_SNRSTD,TM2_i2_y_SNRMAD,TM2_i3_n_BMAJ,TM2_i3_n_BMIN,TM2_i3_n_BPA,TM2_i3_n_PEAK,TM2_i3_n_RMSSTD,TM2_i3_n_RMSMAD,TM2_i3_n_SNRSTD,TM2_i3_n_SNRMAD,TM2_i3_y_BMAJ,TM2_i3_y_BMIN,TM2_i3_y_BPA,TM2_i3_y_PEAK,TM2_i3_y_RMSSTD,TM2_i3_y_RMSMAD,TM2_i3_y_SNRSTD,TM2_i3_y_SNRMAD,TM2_i4_n_BMAJ,TM2_i4_n_BMIN,TM2_i4_n_BPA,TM2_i4_n_PEAK,TM2_i4_n_RMSSTD,TM2_i4_n_RMSMAD,TM2_i4_n_SNRSTD,TM2_i4_n_SNRMAD,TM2_i4_y_BMAJ,TM2_i4_y_BMIN,TM2_i4_y_BPA,TM2_i4_y_PEAK,TM2_i4_y_RMSSTD,TM2_i4_y_RMSMAD,TM2_i4_y_SNRSTD,TM2_i4_y_SNRMAD
0,543150,0.7211478352546801,0.63784885406508,-75.18483734131,0.00066493405,0.00017530246,0.00011810013,3.7930675,5.6302567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,543161,0.71976107358936,0.6329779028892,-76.30192565918,0.00068285275,0.00018318638,0.00012554125,3.7276394,5.43927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,543232,0.72727489471428,0.6360059976577199,-77.11289215088,0.00066675624,0.00017136737,0.00011568195,3.8908005,5.7637014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,545262,0.7241228222846401,0.6367645263672,-76.93535614014,0.0009836644,0.00016094212,0.00010797038,6.111914,9.110502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,545392,0.72676503658296,0.63831764459592,-77.13521575928,0.00076451065,0.00016358338,0.000111294394,4.673523,6.8692646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,G231.7986-01.9682,0.72799623012528,0.63410931825624,-72.58367919922,0.034477517,0.00022947186,0.00015287384,150.24725,225.52922,0.72799623012528,0.72799623012528,-72.58367919922,0.03446209,0.00022605452,0.00015116499,152.45035,227.97667,0.72799623012528,0.72799623012528,-72.58367919922,0.035422936,0.00018878699,0.00012771424,187.63441,277.3609,0.72799623012528,0.72799623012528,-72.58367919922,0.035394784,0.00017997278,0.0001226445,196.66743,288.5966,0.7268776297570799,0.7268776297570799,-71.56164550781,0.035368852,0.00018435929,0.00012560644,191.84741,281.5847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,G232.0766-02.2767,0.72998625040056,0.63231778144836,-71.70709228516,0.024470054,0.0002371879,0.00015892218,103.16738,153.97507,0.72998625040056,0.72998625040056,-71.70709228516,0.024444876,0.00022934722,0.00015477123,106.58458,157.94199,0.7788932919504,0.7788932919504,-68.79388427734,0.02545768,0.00020772149,0.00014229874,122.55679,178.90306,0.7788932919504,0.7788932919504,-68.79388427734,0.025467006,0.00018838397,0.00013086326,135.18669,194.60776,0.9158952832221601,0.9158952832221601,-55.24141311646,0.027515922,0.00019518401,0.00013589721,140.97426,202.476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,G233.8306-00.1803,0.7161710262300001,0.63354182243364,-75.19727325439,0.03484124,0.00022348178,0.00015196252,155.90192,229.2752,0.7161710262300001,0.7161710262300001,-75.19727325439,0.034823008,0.00021635219,0.0001479044,160.9552,235.44267,0.7161710262300001,0.7161710262300001,-75.19728088379,0.035139196,0.0002073649,0.00014216301,169.45586,247.17537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,520412,0.72693014144904,0.6556829810140801,-59.06599807739,0.001593603,0.00014233484,9.700559e-05,11.196156,16.42795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,G221.9605-01.9926,0.7254824042322,0.6487758755683201,-65.37240600586,0.0011993719,0.00017764623,0.000120526354,6.7514625,9.9511175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
