,Source,TM1_i0_n_BMAJ,TM1_i0_n_BMIN,TM1_i0_n_BPA,TM1_i0_n_PEAK,TM1_i0_n_RMSSTD,TM1_i0_n_RMSMAD,TM1_i0_n_SNRSTD,TM1_i0_n_SNRMAD,TM1_i1_n_BMAJ,TM1_i1_n_BMIN,TM1_i1_n_BPA,TM1_i1_n_PEAK,TM1_i1_n_RMSSTD,TM1_i1_n_RMSMAD,TM1_i1_n_SNRSTD,TM1_i1_n_SNRMAD,TM1_i1_y_BMAJ,TM1_i1_y_BMIN,TM1_i1_y_BPA,TM1_i1_y_PEAK,TM1_i1_y_RMSSTD,TM1_i1_y_RMSMAD,TM1_i1_y_SNRSTD,TM1_i1_y_SNRMAD,TM1_i2_n_BMAJ,TM1_i2_n_BMIN,TM1_i2_n_BPA,TM1_i2_n_PEAK,TM1_i2_n_RMSSTD,TM1_i2_n_RMSMAD,TM1_i2_n_SNRSTD,TM1_i2_n_SNRMAD,TM1_i2_y_BMAJ,TM1_i2_y_BMIN,TM1_i2_y_BPA,TM1_i2_y_PEAK,TM1_i2_y_RMSSTD,TM1_i2_y_RMSMAD,TM1_i2_y_SNRSTD,TM1_i2_y_SNRMAD,TM1_i3_n_BMAJ,TM1_i3_n_BMIN,TM1_i3_n_BPA,TM1_i3_n_PEAK,TM1_i3_n_RMSSTD,TM1_i3_n_RMSMAD,TM1_i3_n_SNRSTD,TM1_i3_n_SNRMAD,TM1_i3_y_BMAJ,TM1_i3_y_BMIN,TM1_i3_y_BPA,TM1_i3_y_PEAK,TM1_i3_y_RMSSTD,TM1_i3_y_RMSMAD,TM1_i3_y_SNRSTD,TM1_i3_y_SNRMAD,TM1_i4_n_BMAJ,TM1_i4_n_BMIN,TM1_i4_n_BPA,TM1_i4_n_PEAK,TM1_i4_n_RMSSTD,TM1_i4_n_RMSMAD,TM1_i4_n_SNRSTD,TM1_i4_n_SNRMAD,TM1_i4_y_BMAJ,TM1_i4_y_BMIN,TM1_i4_y_BPA,TM1_i4_y_PEAK,TM1_i4_y_RMSSTD,TM1_i4_y_RMSMAD,TM1_i4_y_SNRSTD,TM1_i4_y_SNRMAD
280,793779,0.342437595129,0.27553766965866,28.89407539368,0.0007857652,8.5156535e-05,5.7561174e-05,9.2273035,13.650958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
281,797087,0.34024223685265204,0.275303453207004,25.43118286133,0.0032150596,9.367612e-05,6.301866e-05,34.321014,51.01758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
282,797095,0.346019834280024,0.278606176376328,26.25821876526,0.017699942,0.00016112738,0.00010853993,109.85062,163.07309,0.346019834280024,0.346019834280024,26.25821876526,0.017654674,0.00015069949,0.00010278467,117.15152,171.7637,0.40610855817792,0.40610855817792,38.68200683594,0.019274887,0.00016337998,0.000112241105,117.975815,171.72752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
283,797524,0.341250807046896,0.27612957358360796,26.04641342163,0.000387244,8.499766e-05,5.734257e-05,4.5559373,6.753168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
284,797972,0.347550779581056,0.28004553914068797,26.77075004578,0.0076235547,0.00018000064,0.00012522729,42.352932,60.877743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
285,798822,0.34029412269591597,0.276024699211104,26.36756896973,0.004800517,9.594813e-05,6.4387525e-05,50.032417,74.55663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
286,799153,0.341597616672528,0.27810317277907204,26.12931060791,0.0051215542,0.00011692225,8.010945e-05,43.803074,63.93196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
287,799503,0.342105031013472,0.275885701179516,27.17120170593,0.017997677,0.00014487846,9.485164e-05,124.226036,189.74554,0.342105031013472,0.342105031013472,27.17120170593,0.017881244,0.0001288382,8.72684e-05,138.78838,204.89941,0.37701836228376,0.37701836228376,34.30941009521,0.019461712,0.00012183385,8.1683465e-05,159.73978,238.25766,0.37701836228376,0.37701836228376,34.30941009521,0.019393448,0.000109562934,7.445544e-05,177.00739,260.47052,0.45897841453536004,0.45897841453536004,39.62302398682,0.022195766,0.00011967483,8.172513e-05,185.46729,271.59048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
288,799832,0.339897036552444,0.27553448081015997,26.82315444946,0.0019259729,9.1817885e-05,6.215021e-05,20.97601,30.989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
289,800055,0.33969050645828397,0.274094969034204,30.2485294342,0.0033946866,9.2224785e-05,6.325658e-05,36.80883,53.66535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
