,Source,OBSRA,OBSDEC,TM2_contNAXIS,TM2_contCDELT,TM2_contPEAK,TM2_contAGMADRES,TM2_contAGSTDRES,TM2_contAGMADREM,TM2_contAGSTDREM,TM2_contAGMADIMM,TM2_contAGSTDIMM,TM2_contBMAJ,TM2_contBMIN,TM2_contBPA,TM2_spw0PEAK,TM2_spw0AGMADRESch0200,TM2_spw0AGSTDRESch0200,TM2_spw0AGMADRESch1000,TM2_spw0AGSTDRESch1000,TM2_spw0AGMADRESch2000,TM2_spw0AGSTDRESch2000,TM2_spw0AGMADRESch2800,TM2_spw0AGSTDRESch2800,TM2_spw0BMAJ,TM2_spw0BMIN,TM2_spw0BPA,TM2_spw1PEAK,TM2_spw1AGMADRESch0200,TM2_spw1AGSTDRESch0200,TM2_spw1AGMADRESch1000,TM2_spw1AGSTDRESch1000,TM2_spw1AGMADRESch2000,TM2_spw1AGSTDRESch2000,TM2_spw1AGMADRESch2800,TM2_spw1AGSTDRESch2800,TM2_spw1BMAJ,TM2_spw1BMIN,TM2_spw1BPA,TM2_spw2PEAK,TM2_spw2AGMADRESch0200,TM2_spw2AGSTDRESch0200,TM2_spw2AGMADRESch1000,TM2_spw2AGSTDRESch1000,TM2_spw2AGMADRESch2000,TM2_spw2AGSTDRESch2000,TM2_spw2AGMADRESch2800,TM2_spw2AGSTDRESch2800,TM2_spw2BMAJ,TM2_spw2BMIN,TM2_spw2BPA,TM2_spw3PEAK,TM2_spw3AGMADRESch0200,TM2_spw3AGSTDRESch0200,TM2_spw3AGMADRESch1000,TM2_spw3AGSTDRESch1000,TM2_spw3AGMADRESch2000,TM2_spw3AGSTDRESch2000,TM2_spw3AGMADRESch2800,TM2_spw3AGSTDRESch2800,TM2_spw3BMAJ,TM2_spw3BMIN,TM2_spw3BPA
856,G274.0649-01.1460A,141.1754166666,-52.03561111111,339.0,0.110000000000016,0.10445483,0.0002994130481966,0.0004098037898075,0.0002819619548973,0.0003897202841472,0.0003306083963253,0.0004873567668255,0.67729306221,0.5652062296866,-44.19191741943,1.1863207,0.004197701,0.0060094404,0.0038355063,0.005647426,0.004000216,0.0058084186,0.0039496743,0.005725028,0.7274954915046,0.61305677890776,-38.31341171265,1.2721591,0.004792576,0.0070234383,0.0038576052,0.0056237066,0.003765486,0.0054672286,0.0036250148,0.005285035,0.7067633867262,0.61418384313588,-44.53619766235,1.6390123,0.008644188,0.012814499,0.008780157,0.012975262,0.0077545284,0.011206379,0.007982083,0.011588641,0.7304724454878,0.61671525239952,-38.42484664917,1.0207398,0.008869351,0.012842475,0.009279159,0.013853714,0.008822646,0.013191404,0.00844778,0.012614553,0.71424782276148,0.6113299727440801,-44.27224349976
857,633013,151.6402083333,-57.19717222223,239.0,0.15999999999998402,0.0007657597,7.014167204034e-05,9.167935786536e-05,6.636945181526e-05,8.827025158098e-05,8.896202052711e-05,0.0001299641298829,0.94942533969864,0.7982096076010801,-61.23106384277,0.12158611,0.0044769277,0.006440067,0.004887168,0.0071520023,0.004996862,0.0072928513,0.004709927,0.0070064883,1.00584733486176,0.8631243705751199,-59.77027893066,0.7120197,0.0048761363,0.0070663607,0.004658321,0.006755698,0.0039697774,0.005737967,0.0041133203,0.005943301,1.0255585908888,0.86391323804844,-59.04272460938,0.1688353,0.00916901,0.013398786,0.009050278,0.013303672,0.009492702,0.014145693,0.009350795,0.013566775,1.0230336189270002,0.8693208694458,-60.33259963989,0.94199353,0.010158162,0.015087535,0.010567069,0.01575708,0.00978282,0.01458203,0.009154932,0.013574089,1.08930718898784,0.8474209904671199,-62.88753509521
858,633219,152.3594583333,-56.73085833334,239.0,0.15999999999998402,0.0111799445,0.0001030014682328,0.0001378964516334,9.814609074965e-05,0.0001328400248894,0.0001267460756935,0.0001852448476711,0.9460412859916799,0.7989716529845999,-63.74789428711,0.25770319,0.0046017924,0.0066392957,0.0046932385,0.0069474946,0.004343292,0.0063330345,0.00492771,0.007284544,1.01545214653008,0.85944831371316,-61.70314788818,0.8158001,0.0052899923,0.007837793,0.004479952,0.00655426,0.0040138895,0.005847997,0.0043102773,0.0063974992,1.0196901559828802,0.8641512989996399,-61.0549621582,0.29262614,0.0093658855,0.013804042,0.009044129,0.0133745,0.008570276,0.012604197,0.009057242,0.0135615785,1.02731060981736,0.87011218071,-63.18059158325,0.9231669,0.010581924,0.015658073,0.010080629,0.014671343,0.009829915,0.014505051,0.009126763,0.013614822,1.08215665817256,0.8504509925844,-63.30988693237
859,638718,154.389625,-57.97901666668,239.0,0.15999999999998402,0.00048217853,6.48718123557e-05,8.66187911015e-05,6.371549534379e-05,8.527572936146e-05,7.32365224394e-05,0.0001086829288397,0.96276885271056,0.79793095588668,-61.59457778931,0.040550984,0.0047746655,0.0070733274,0.004906978,0.007332623,0.0049124467,0.007251585,0.004515402,0.006759822,1.02833354473128,0.8662113547326,-57.40160369873,0.24906084,0.00544351,0.008045318,0.0048158285,0.007020375,0.004516867,0.0066983723,0.004254371,0.0062296987,1.03117609024056,0.86361783742908,-57.81713104248,0.07882541,0.009580442,0.014178005,0.0094710365,0.014091461,0.009880957,0.014518623,0.010054109,0.014847739,1.043007850647,0.86869370937348,-58.34672164917,0.4608847,0.010830693,0.016168488,0.011017219,0.016302355,0.009892588,0.014670508,0.009428305,0.014108269,1.09140968322756,0.8461973071098,-62.70925140381
860,638752,154.7453333333,-57.70582222223,239.0,0.15999999999998402,0.0034344413,8.943890134105e-05,0.0001207194654853,8.78986902535e-05,0.0001189826871268,0.0001021580974339,0.0001534038165119,0.96423244476336,0.79484975337996,-62.82925796509,0.0628123,0.00486919,0.007157133,0.0047231833,0.006986666,0.0047939746,0.0070133233,0.004652682,0.0069631548,1.0314918756486,0.86085844039908,-60.73075866699,0.1608135,0.0053846356,0.008001258,0.0045277164,0.006696909,0.0040446324,0.0058213314,0.004064851,0.0059857313,1.02221477031708,0.86487865448004,-62.61126708984,0.10949975,0.0092127975,0.013686123,0.009048902,0.013459931,0.009096583,0.012975483,0.0094728125,0.014131755,1.04082548618304,0.86704432964316,-59.84130859375,0.27817455,0.010497686,0.015507872,0.0100160185,0.014882014,0.009704171,0.014412035,0.009803629,0.014176331,1.0954889059068,0.8445112109182801,-62.80100250244
861,638974,154.5038333333,-58.01058333334,239.0,0.15999999999998402,0.00069557934,7.315097900573e-05,0.0001008736144286,7.197690138128e-05,9.949138620868e-05,7.817970617907e-05,0.0001162727203337,0.9560971260072,0.798569738865,-62.08071517944,0.043497257,0.0046242615,0.0068459376,0.0048175002,0.0072136126,0.0045829862,0.0067679742,0.0048015965,0.0071660494,1.03467702865608,0.8642836809158401,-59.28146362305,0.39178953,0.00525171,0.007842533,0.004396425,0.006477881,0.004271568,0.0062607653,0.003975225,0.005851066,1.03448200225824,0.86662387847916,-62.24276733398,0.0838839,0.009108706,0.013421215,0.009445528,0.013879729,0.009266291,0.013704342,0.009382573,0.013848526,1.04700767993928,0.8791438937187601,-58.92199707031,0.6550277,0.010337805,0.015528482,0.010431479,0.01551716,0.009720598,0.014325665,0.00953528,0.013984128,1.0850824117659599,0.85235649347304,-63.57459640503
862,639498,154.865125,-57.93874166668,239.0,0.15999999999998402,0.0040037767,6.717820360791e-05,8.904729475034e-05,6.430946086766e-05,8.62192173372e-05,7.833431300242e-05,0.0001187093657791,0.96404397487632,0.80003786087052,-62.91111373901,0.05527634,0.0046939664,0.006908031,0.0046506193,0.0069454825,0.0047480627,0.0069962344,0.0048080315,0.007151092,1.03091347217556,0.8633624911308,-60.83911132812,0.32062912,0.005104378,0.007535428,0.0045626,0.006710898,0.00401113,0.005795519,0.004186087,0.006098545,1.02532136440284,0.8646805286406001,-59.79055786133,0.09376238,0.009559253,0.014032798,0.009544007,0.013996252,0.009154189,0.013481717,0.009448071,0.013809519,1.043265223503,0.8723465204238,-60.4560546875,0.44092292,0.010814325,0.016120166,0.010492877,0.015513496,0.009649924,0.014247481,0.009186604,0.013512982,1.08653116226184,0.84513682127016,-62.86668777466
863,640046,155.0619166666,-58.05011944445,239.0,0.15999999999998402,0.002984674,9.220872016158e-05,0.000122157856822,8.628296927782e-05,0.0001155673598987,0.0001118466461776,0.0001606262085261,0.9657615423204001,0.8006130456922801,-62.30505752563,0.14718837,0.0045516556,0.0067424797,0.0048814737,0.0070463503,0.0047878213,0.007102883,0.004639286,0.0069695506,1.03336918354044,0.8629413843153599,-58.39169311523,1.0204098,0.00528344,0.007954452,0.004511655,0.0066435235,0.004372767,0.006394471,0.005759057,0.0074988534,1.03153502941128,0.8605290055273199,-57.94425964355,0.2058116,0.009369189,0.013768113,0.009422534,0.013895554,0.00910487,0.013625735,0.009161619,0.013697336,1.04233419895176,0.874492585659,-59.650390625,1.2839963,0.010587715,0.015640903,0.01059841,0.01573064,0.00965892,0.014096716,0.009433051,0.014070237,1.08069133758552,0.8489257097245201,-62.4935874939
864,640076,155.0672083333,-58.06614444445,239.0,0.15999999999998402,0.14688365,0.0001466794637963,0.0002004006237257,0.0001340523886029,0.0001862006174633,0.0001702555455267,0.0002527300675865,0.9610303044319201,0.8021945953367999,-61.72546005249,0.4779369,0.0047888174,0.0068188654,0.0048178327,0.0070394105,0.004529729,0.0065190173,0.0048368694,0.0071968026,1.03451979160296,0.86422997713104,-60.47412109375,1.8155075,0.0049284566,0.0074768183,0.0046931547,0.0068297,0.0043756007,0.0063645407,0.0060781883,0.008263843,1.0427398681640399,0.86257046461104,-59.44873046875,0.5151893,0.009002455,0.013424681,0.009481161,0.014020476,0.009618644,0.014283084,0.009338361,0.013868802,1.04947996139532,0.87438642978672,-60.208984375,1.9799801,0.01065849,0.015707562,0.009658125,0.0144238565,0.009990869,0.014978374,0.009372804,0.013792503,1.08743989467636,0.8529598712919599,-64.70611572266
865,640255,155.09075,-58.14086666668,239.0,0.15999999999998402,0.00053170795,7.25532809156e-05,9.710575977806e-05,7.158442167565e-05,9.610772394808e-05,7.961667870404e-05,0.0001172262855107,0.91544717550276,0.78600901365288,-60.43701171875,0.03961437,0.0048622717,0.0071418434,0.0048150118,0.0070480886,0.0045769205,0.006934246,0.0047964887,0.0071439194,0.98070269823072,0.84620124101628,-58.50423812866,0.3794494,0.0053619086,0.00794137,0.00447007,0.0066825924,0.004130504,0.006282351,0.004232135,0.006243694,0.9807062149047601,0.84599238634092,-59.08611679077,0.08272422,0.0093119405,0.013670312,0.009115639,0.013622462,0.009662457,0.014088337,0.009330289,0.01384302,0.98901289701468,0.85537242889416,-58.71946334839,0.60478234,0.010536022,0.01561495,0.009917826,0.014724759,0.009486859,0.014091115,0.009459262,0.014106299,1.03155636787416,0.8258307576181201,-61.73740768433
