,Source,7M_i0_n_BMAJ,7M_i0_n_BMIN,7M_i0_n_BPA,7M_i0_n_PEAK,7M_i0_n_RMSSTD,7M_i0_n_RMSMAD,7M_i0_n_SNRSTD,7M_i0_n_SNRMAD,7M_i1_n_BMAJ,7M_i1_n_BMIN,7M_i1_n_BPA,7M_i1_n_PEAK,7M_i1_n_RMSSTD,7M_i1_n_RMSMAD,7M_i1_n_SNRSTD,7M_i1_n_SNRMAD,7M_i1_y_BMAJ,7M_i1_y_BMIN,7M_i1_y_BPA,7M_i1_y_PEAK,7M_i1_y_RMSSTD,7M_i1_y_RMSMAD,7M_i1_y_SNRSTD,7M_i1_y_SNRMAD,7M_i2_n_BMAJ,7M_i2_n_BMIN,7M_i2_n_BPA,7M_i2_n_PEAK,7M_i2_n_RMSSTD,7M_i2_n_RMSMAD,7M_i2_n_SNRSTD,7M_i2_n_SNRMAD,7M_i2_y_BMAJ,7M_i2_y_BMIN,7M_i2_y_BPA,7M_i2_y_PEAK,7M_i2_y_RMSSTD,7M_i2_y_RMSMAD,7M_i2_y_SNRSTD,7M_i2_y_SNRMAD,7M_i3_n_BMAJ,7M_i3_n_BMIN,7M_i3_n_BPA,7M_i3_n_PEAK,7M_i3_n_RMSSTD,7M_i3_n_RMSMAD,7M_i3_n_SNRSTD,7M_i3_n_SNRMAD,7M_i3_y_BMAJ,7M_i3_y_BMIN,7M_i3_y_BPA,7M_i3_y_PEAK,7M_i3_y_RMSSTD,7M_i3_y_RMSMAD,7M_i3_y_SNRSTD,7M_i3_y_SNRMAD,7M_i4_n_BMAJ,7M_i4_n_BMIN,7M_i4_n_BPA,7M_i4_n_PEAK,7M_i4_n_RMSSTD,7M_i4_n_RMSMAD,7M_i4_n_SNRSTD,7M_i4_n_SNRMAD,7M_i4_y_BMAJ,7M_i4_y_BMIN,7M_i4_y_BPA,7M_i4_y_PEAK,7M_i4_y_RMSSTD,7M_i4_y_RMSMAD,7M_i4_y_SNRSTD,7M_i4_y_SNRMAD
276,792437,7.522446632385599,5.0513238906876,89.79970550537,0.122004725,0.0028283822,0.0019973982,43.135868,61.081825,7.522446632385599,7.522446632385599,89.79970550537,0.121901676,0.0036842974,0.0023307642,33.08682,52.301163,7.522447586058,7.522447586058,89.79969787598,0.13245422,0.003569483,0.0021639622,37.107395,61.209118,7.522447586058,7.522447586058,89.79969787598,0.13247783,0.0026659742,0.0018038002,49.692093,73.44374,7.5224456787096,7.5224456787096,89.79971313477,0.13292277,0.0027325978,0.0018560091,48.64337,71.617516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
277,792545,7.4963583946224,4.979238033294,89.74555206299,0.016511202,0.0017431638,0.001059713,9.471973,15.580825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
278,793695,7.524860858917201,4.92146730423,-89.03594207764,0.095930986,0.0035501588,0.0024146375,27.021605,39.72894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
279,793710,7.5530118942252,4.92475128174,-88.92966461182,0.106018245,0.0022075481,0.0014788869,48.025337,71.68787,7.5530118942252,7.5530118942252,-88.92966461182,0.10602975,0.0020733173,0.0014003679,51.140144,75.71564,7.5492558479304,7.5492558479304,-89.02132415771,0.11621282,0.0018877981,0.0011740965,61.559986,98.980644,7.5492558479304,7.5492558479304,-89.02132415771,0.1160209,0.0014671043,0.0010108125,79.081566,114.77985,7.5561947822555995,7.5561947822555995,-88.70446014404,0.116265714,0.0014161174,0.000975294,82.101746,119.210945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
280,793779,7.5351233482344,4.923281669616,-89.25318908691,0.01027284,0.00095048413,0.0006521438,10.808008,15.752416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
281,797087,7.5149059295664,4.963516235352,89.43294525146,0.031075228,0.0015976579,0.0010865529,19.450489,28.59983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
282,797095,7.509315490722,4.9719052314756,89.31790161133,0.14032285,0.0032368803,0.0019606617,43.351265,71.56913,7.509315490722,7.509315490722,89.31790161133,0.1413051,0.0029826476,0.0018839282,47.37573,75.00557,7.509315490722,7.509315490722,89.31789398193,0.15121324,0.0027398283,0.0015876531,55.190773,95.243256,7.509315490722,7.509315490722,89.31789398193,0.15343407,0.0021355688,0.0013185187,71.84693,116.36852,7.509316444398,7.509316444398,89.31790161133,0.1538034,0.0020725296,0.0012836097,74.210464,119.821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
283,797524,7.5147080421456,4.9830489158616,89.6410369873,0.0034534102,0.0009882691,0.0006185314,3.4944026,5.5832415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
284,797972,7.5259480476383995,4.9847736358656,89.56806945801,0.21898971,0.006584452,0.004133287,33.25861,52.98198,7.5259480476383995,7.5259480476383995,89.56806945801,0.2158779,0.0064783827,0.0045170765,33.322807,47.791508,7.5250225067148,7.5250225067148,89.40801239014,0.23976399,0.006054653,0.004123464,39.599957,58.14625,7.5250225067148,7.5250225067148,89.40801239014,0.2394351,0.006869223,0.0043464336,34.856213,55.08772,7.5274891853328,7.5274891853328,89.17422485352,0.23981003,0.0068859537,0.0043869056,34.825974,54.664963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
285,798822,7.5167336463912005,4.9840230941784,89.44584655762,0.024351908,0.0025096808,0.0015993215,9.703189,15.226399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
286,799153,7.5229659080496,4.9830365180952,89.69996643066,0.072828256,0.0019724325,0.001420497,36.923065,51.26956,7.5229659080496,7.5229659080496,89.69996643066,0.07253429,0.0020519393,0.001455012,35.349144,49.851337,7.5694799423232,7.5694799423232,89.26609039307,0.08236407,0.0018606837,0.0011403242,44.265488,72.228645,7.5694799423232,7.5694799423232,89.26609039307,0.08363224,0.0014502348,0.0010021076,57.668068,83.456345,7.6997671127316005,7.6997671127316005,88.37643432617,0.08525645,0.00150786,0.0010471396,56.541355,81.41842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
287,799503,7.473169803618,4.985620498656,89.79396820068,0.10654957,0.0027731797,0.0018957842,38.421444,56.203426,7.473169803618,7.473169803618,89.79396820068,0.10606582,0.0029085474,0.0019385122,36.466938,54.71506,7.473169803618,7.473169803618,89.79396820068,0.123491764,0.0024411432,0.0014702128,50.587677,83.99584,7.473169803618,7.473169803618,89.79396820068,0.12492561,0.0018618079,0.0012979162,67.09909,96.25091,7.4758367538468,7.4758367538468,89.60480499268,0.12518284,0.0018327349,0.0013016122,68.30384,96.17522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
288,799832,7.476819038391599,4.9820370674148,89.9939956665,0.04234565,0.001969834,0.0013271336,21.497065,31.9076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
289,800055,7.489307403565199,4.8798999786384,-89.56464385986,0.048289478,0.0021344265,0.0013995663,22.6241,34.503174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
290,800114,7.4806818962112,4.993114471434001,-89.73754882812,0.008894457,0.0027816347,0.0018072838,3.1975646,4.9214497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
291,800202,7.5011925697344,4.8856339454652,-89.49875640869,0.03652329,0.0015231912,0.000983672,23.978138,37.129543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
292,800751,7.4944233894348,4.951513290405599,89.13676452637,0.14916019,0.003952801,0.0023767236,37.735313,62.758747,7.4944233894348,7.4944233894348,89.13676452637,0.1494784,0.0036134156,0.002264469,41.36762,66.01036,7.4888725280760005,7.4888725280760005,89.1039276123,0.16016448,0.0032399017,0.0018213617,49.43498,87.93667,7.4888725280760005,7.4888725280760005,89.1039276123,0.16082104,0.0023140605,0.0014876944,69.49734,108.10085,7.4758362770088,7.4758362770088,89.10943603516,0.16217329,0.0023262762,0.0014954365,69.713684,108.44545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
293,800891,7.4767832756028,4.8681163787832,-89.33377075195,0.08592107,0.0034365323,0.0023763152,25.002258,36.157272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
294,800967,7.4919266700732,4.946313858033601,88.80469512939,0.021366868,0.001166319,0.00079563004,18.319918,26.85528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
295,801000,7.530118465424399,4.92866563797,89.41024780273,0.006840937,0.0017380747,0.000997725,3.9359279,6.856536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
296,801089,7.523518085478001,4.8952813148496,89.48644256592,0.009152833,0.0012259074,0.0007754425,7.4661703,11.803368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
297,801282,7.491957664489201,4.952778816222,89.77342224121,0.121940404,0.0034730763,0.0024477425,35.1102,49.817497,7.491957664489201,7.491957664489201,89.77342224121,0.1212442,0.0038857285,0.0026209126,31.202436,46.2603,7.491957664489201,7.491957664489201,89.77342224121,0.12785192,0.0038442928,0.0024420863,33.25759,52.35356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
298,801644,7.517817497253599,4.946947574616,89.15393066406,0.006450586,0.0009674554,0.0006169263,6.6675797,10.456008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
299,802291,7.4961895942692,4.868896484376,-89.69119262695,0.08262391,0.0031816266,0.002121982,25.969078,38.937138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,802647,7.5654411315912,4.8264107704164,89.2179107666,0.13387764,0.003380167,0.0026511285,39.60681,50.49836,7.5654411315912,7.5654411315912,89.2179107666,0.1319073,0.0039328136,0.0029933136,33.540184,44.067318,7.572596549986799,7.572596549986799,89.27463531494,0.14090669,0.0036303669,0.0023277164,38.813347,60.5343,7.572596549986799,7.572596549986799,89.27463531494,0.1435207,0.0028607778,0.001999896,50.16842,71.76408,7.5880432128924005,7.5880432128924005,89.57872772217,0.14451261,0.002867255,0.001934184,50.40103,74.71503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
301,803218,7.531416893005201,4.8859982490528,-89.61851501465,0.07983232,0.003269383,0.0023129084,24.418161,34.51599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
302,G326.4755+00.6947,7.6010761260972,5.0353193283083995,-89.12824249268,0.39294067,0.008234558,0.006146464,47.71849,63.92955,7.6010761260972,7.6010761260972,-89.12824249268,0.38803574,0.010182606,0.006952547,38.107704,55.812027,7.6010770797732,7.6010770797732,-89.12823486328,0.43806443,0.008774434,0.0054861545,49.92509,79.84909,7.6010770797732,7.6010770797732,-89.12823486328,0.44187224,0.006795146,0.0046676137,65.027626,94.667694,7.6010766029351995,7.6010766029351995,-89.12823486328,0.44160202,0.006657838,0.004485688,66.32814,98.446884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
303,G326.6618+00.5207,7.6859593391412,5.0473060607916,-89.2551574707,0.31158558,0.004242153,0.0030591025,73.44987,101.855225,7.6859593391412,7.6859593391412,-89.2551574707,0.31059042,0.004640383,0.003182845,66.93206,97.58264,7.6859593391412,7.6859593391412,-89.2551574707,0.3342029,0.0041848933,0.0024992723,79.85935,133.72008,7.6859593391412,7.6859593391412,-89.2551574707,0.33671904,0.0030611774,0.0019735214,109.996574,170.61838,7.6859593391412,7.6859593391412,-89.2551574707,0.33699143,0.0029971434,0.0019226668,112.43754,175.27292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
304,G327.9455-00.1149,7.699648857116401,4.9425439834584,-88.53716278076,0.028385505,0.0022282745,0.001357814,12.738783,20.905298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
305,G328.5487+00.2717,7.605636119841599,4.920387268068,-89.04467010498,0.122552335,0.0022172332,0.0013132097,55.27264,93.32275,7.605636119841599,7.605636119841599,-89.04467010498,0.12306079,0.0019900075,0.0012591851,61.839363,97.7305,7.605636119841599,7.605636119841599,-89.04467010498,0.13737121,0.0016623088,0.0010521425,82.6388,130.56332,7.605636119841599,7.605636119841599,-89.04467010498,0.13840024,0.0013018333,0.0009019318,106.3118,153.44868,7.605636119841599,7.605636119841599,-89.04467010498,0.13861917,0.0012825686,0.00088078046,108.079346,157.3822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
306,G329.2713+00.1147,7.534724712372,4.942736148833999,-89.57964324951,0.08264647,0.0018469068,0.0011417848,44.748585,72.383575,7.534724712372,7.534724712372,-89.57964324951,0.083110526,0.0017246429,0.0011230885,48.18999,74.00176,7.5702700614923994,7.5702700614923994,-89.76391601562,0.09452679,0.0014978512,0.0009641391,63.108265,98.04269,7.5702700614923994,7.5702700614923994,-89.76391601562,0.09526506,0.0012883643,0.0008726555,73.94264,109.16686,7.606661319734401,7.606661319734401,-89.48654937744,0.09659221,0.0012825531,0.0008930032,75.31245,108.16558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
307,G329.6098+00.1139,7.6154408454888,4.9664573669448,-89.91873931885,0.03917871,0.0017895187,0.0011368033,21.893435,34.463932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
308,G330.0699+01.0639,7.5410499572748,4.875584602356,89.9348449707,0.10267024,0.0024962395,0.0016848943,41.129963,60.935715,7.5410499572748,7.5410499572748,89.9348449707,0.10276684,0.002369816,0.001632989,43.364902,62.93174,7.5479855537412,7.5479855537412,89.23997497559,0.11266121,0.0021403783,0.0013595686,52.63612,82.86542,7.5479855537412,7.5479855537412,89.23997497559,0.1125668,0.0018723826,0.0012263362,60.11955,91.79114,7.568821907042399,7.568821907042399,88.16333007812,0.11563296,0.001937041,0.0012667394,59.69567,91.283936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
309,G331.6191-00.0442A,7.4729681015004,4.9309592247,-89.89130401611,0.05392365,0.0019219142,0.0012645061,28.057262,42.64404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
310,804173,7.441236019134,4.8630499839792,88.99587249756,0.3884129,0.0072312276,0.0051911655,53.713272,74.82191,7.441236019134,7.441236019134,88.99587249756,0.38611305,0.008566028,0.0060044564,45.07492,64.30441,7.441236019134,7.441236019134,88.99587249756,0.42594922,0.0065662996,0.003566287,64.86899,119.43773,7.441236019134,7.441236019134,88.99587249756,0.42960677,0.0042968076,0.0028305128,99.98278,151.77701,7.441237449644401,7.441237449644401,88.99588012695,0.42976645,0.0042244545,0.0028308844,101.733,151.81349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
311,804190,7.3953461647044,4.8867259025556,88.52922058105,0.00801125,0.0015637742,0.0010692324,5.123022,7.4925246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
312,804675,7.389436721803199,4.887678146363999,88.50162506104,0.008312469,0.0013561895,0.00095013436,6.129283,8.748731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
