,Source,7M_i0_n_BMAJ,7M_i0_n_BMIN,7M_i0_n_BPA,7M_i0_n_PEAK,7M_i0_n_RMSSTD,7M_i0_n_RMSMAD,7M_i0_n_SNRSTD,7M_i0_n_SNRMAD,7M_i1_n_BMAJ,7M_i1_n_BMIN,7M_i1_n_BPA,7M_i1_n_PEAK,7M_i1_n_RMSSTD,7M_i1_n_RMSMAD,7M_i1_n_SNRSTD,7M_i1_n_SNRMAD,7M_i1_y_BMAJ,7M_i1_y_BMIN,7M_i1_y_BPA,7M_i1_y_PEAK,7M_i1_y_RMSSTD,7M_i1_y_RMSMAD,7M_i1_y_SNRSTD,7M_i1_y_SNRMAD,7M_i2_n_BMAJ,7M_i2_n_BMIN,7M_i2_n_BPA,7M_i2_n_PEAK,7M_i2_n_RMSSTD,7M_i2_n_RMSMAD,7M_i2_n_SNRSTD,7M_i2_n_SNRMAD,7M_i2_y_BMAJ,7M_i2_y_BMIN,7M_i2_y_BPA,7M_i2_y_PEAK,7M_i2_y_RMSSTD,7M_i2_y_RMSMAD,7M_i2_y_SNRSTD,7M_i2_y_SNRMAD,7M_i3_n_BMAJ,7M_i3_n_BMIN,7M_i3_n_BPA,7M_i3_n_PEAK,7M_i3_n_RMSSTD,7M_i3_n_RMSMAD,7M_i3_n_SNRSTD,7M_i3_n_SNRMAD,7M_i3_y_BMAJ,7M_i3_y_BMIN,7M_i3_y_BPA,7M_i3_y_PEAK,7M_i3_y_RMSSTD,7M_i3_y_RMSMAD,7M_i3_y_SNRSTD,7M_i3_y_SNRMAD,7M_i4_n_BMAJ,7M_i4_n_BMIN,7M_i4_n_BPA,7M_i4_n_PEAK,7M_i4_n_RMSSTD,7M_i4_n_RMSMAD,7M_i4_n_SNRSTD,7M_i4_n_SNRMAD,7M_i4_y_BMAJ,7M_i4_y_BMIN,7M_i4_y_BPA,7M_i4_y_PEAK,7M_i4_y_RMSSTD,7M_i4_y_RMSMAD,7M_i4_y_SNRSTD,7M_i4_y_SNRMAD
37,111983,7.791467189788801,4.302848339082,-69.87649536133,0.0028282555,0.00081591326,0.0005307837,3.466368,5.3284516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,112582,7.8031120300308,4.309363842012,-69.76530456543,0.04358782,0.007933434,0.004296093,5.494193,10.145921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,112942,7.7936801910408,4.3534836769104,-70.52380371094,0.10206377,0.0158119,0.008074733,6.4548707,12.639894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,113869,7.8036117553728,4.3156571388228,-69.53240966797,0.14393415,0.035783656,0.023553707,4.022343,6.1108913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,120828,7.8199439048784,4.3631548881516,-69.39259338379,0.022837773,0.004601625,0.0027744533,4.9629803,8.23145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,120995,7.8445472717268,4.2358951568592005,-70.32971191406,0.031804487,0.0057301125,0.0036762217,5.550412,8.651406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,124229,7.9460077285764,4.2071304321288,-71.03692626953,0.009389661,0.0016856374,0.0009895184,5.570392,9.489122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,124839,7.8590893745412,4.2656130790704,-71.34033203125,0.041485958,0.009606684,0.0058477335,4.3184476,7.0943656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,125906,7.9309091567988,4.176252841949999,-71.16387939453,0.21284011,0.031003429,0.016220696,6.865051,13.121515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,126120,7.8899908065804,4.1878790855424,-71.47067260742,0.077572696,0.012296362,0.0073443516,6.3085895,10.562225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
